level_0,Date,1_Day_returns,5_Day_returns,10_Day_returns
AMD,2016-06-03,-0.5600799892193484,-1.4639283231622646,0.0350404640049935
AMD,2016-06-06,-4.949522199982733,0.2966343951824837,1.809377249504355
AMD,2016-06-07,-0.8799149474108408,-2.3721376629820363,-0.7962868391286282
AMD,2016-06-08,-2.2389045431713326,-0.6381053083742396,-1.2799347991312395
AMD,2016-06-09,-2.213447179829361,-1.3136649208071336,-3.8251119551627393
AMD,2016-06-10,-4.289085587734002,1.3451326266648764,-2.0879734470817537
AMD,2016-06-14,-0.9486351403607294,-1.0304992356302345,-1.039546357944937
AMD,2016-06-15,-4.006786078359793,-0.23633562115887552,-2.0478526560856887
AMD,2016-06-16,9.925259912761845,-7.734362119296303,-3.437129902458938
AMD,2016-06-17,0.4380871270972966,6.981063892977657,-3.5033797739475103
AMD,2016-06-20,-1.2833076739112195,-0.3125455125617169,0.6121719478386971
